Track URI,Track Name,Artist URI,Artist Name,Album URI,Album Name,Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,Added By,Added At
spotify:track:3M8FzayQWtkvOhqMn2V4T2,Lean on Me,spotify:artist:1ThoqLcyIYvZn7iWbj8fsj,Bill Withers,spotify:album:0sFuW4rH5mFZUjNKnckO3v,Still Bill,5/1/1972,https://i.scdn.co/image/ab67616d0000b27398e08f603553915a041b6937,1,5,258834,https://p.scdn.co/mp3-preview/88034b6356a11c9bea4cca28d56a80efcc655ac4?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,71,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:4dGJf1SER1T6ooX46vwzRB,Chicken Fried,spotify:artist:6yJCxee7QumYr820xdIsjo,Zac Brown Band,spotify:album:0Im5nUhAuNDSYVjfPh7RyS,The Foundation,11/17/2008,https://i.scdn.co/image/ab67616d0000b2733f6f4ab78c05dfdfcc37a205,1,6,238146,,FALSE,9,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:5ChkMS8OtdzJeqyybCc9R5,Billie Jean,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,spotify:album:1C2h7mLntPSeVYciMRTF4a,Thriller 25 Super Deluxe Edition,11/30/1982,https://i.scdn.co/image/ab67616d0000b2734121faee8df82c526cbab2be,1,6,293826,https://p.scdn.co/mp3-preview/f504e6b8e037771318656394f532dede4f9bcaea?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,83,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:5V1AHQugSTASVez5ffJtFo,Let It Be - Remastered,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,spotify:album:2pCqZLeavM2BMovJXsJEIV,Let It Be (Remastered),5/8/1970,https://i.scdn.co/image/ab67616d0000b273a9bfc3a64366fa2ad89467a3,1,6,243026,,FALSE,0,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:63nTBScSLXWwyeizXi9Rmi,I Saw Her Standing There - Remastered,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,spotify:album:7gDXyW16byCQOgK965BRzn,Please Please Me (Remastered),3/22/1963,https://i.scdn.co/image/ab67616d0000b2736dad651e0f698008133d94dc,1,1,173946,,FALSE,0,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:1e0hllQ23AG0QGFgezgLOq,Yesterday - Remastered,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,spotify:album:19K3IHYeVkUTjcBHGfbCOi,Help! (Remastered),8/6/1965,https://i.scdn.co/image/ab67616d0000b273d967cd10468b9cf4e6bdfc7b,1,13,125666,,FALSE,0,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:4Z1fbYp0HuxLBje4MOZcSD,Twist And Shout - Remastered,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,spotify:album:7gDXyW16byCQOgK965BRzn,Please Please Me (Remastered),3/22/1963,https://i.scdn.co/image/ab67616d0000b2736dad651e0f698008133d94dc,1,14,155226,,FALSE,0,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:2ZNTPtYmAhN9vCwnAgqKn1,"Shout, Pts. 1 & 2",spotify:artist:53QzNeFpzAaXYnrDBbDrIp,The Isley Brothers,spotify:album:3TU9a0ngwVYr7YRe5fJPVH,Shout!,8/21/1959,https://i.scdn.co/image/ab67616d0000b273f9ddaa9b3da1cd7275626987,1,11,268560,https://p.scdn.co/mp3-preview/46768fddae965c717f14582406b70c6f0b405e14?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,60,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:7GFkFbXPUPTAZRkGxr3VL3,Pour Some Sugar On Me - Remastered 2017,spotify:artist:6H1RjVyNruCmrBEWRbD0VZ,Def Leppard,spotify:album:73BjTTmhhoiK4MGtINzp2c,Hysteria (Super Deluxe),8/3/1987,https://i.scdn.co/image/ab67616d0000b27397857966e4dffc9c8cd57cba,1,5,267306,,FALSE,0,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:43btz2xjMKpcmjkuRsvxyg,Jack & Diane,spotify:artist:3lPQ2Fk5JOwGWAF3ORFCqH,John Mellencamp,spotify:album:4gouGcdQn9OvjX42xnWrF0,American Fool,1982,https://i.scdn.co/image/ab67616d0000b273b1945b44ce8868740f132f8e,1,2,254493,https://p.scdn.co/mp3-preview/08b33e98a5cb0c43982da67fd533b2956a3ba102?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,73,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
