Track URI,Track Name,Artist URI,Artist Name,Album URI,Album Name,Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,Added By,Added At
spotify:track:1Dg4dFJr3HW7sbA7vPejre,Eight Days A Week - Remastered 2009,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,spotify:album:1vANZV20H5B4Fk6yf7Ot9a,Beatles For Sale (Remastered),12/4/1964,https://i.scdn.co/image/ab67616d0000b27355612ece447bec5d62c68375,1,8,163600,https://p.scdn.co/mp3-preview/cc182cf1769a3277a061da4c90480a63ece9abee?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,64,spotify:user:dgd13qott8zs5e2si4st3j7a9,2020-03-23T20:44:08Z
spotify:track:43GS3mtezoIFiuIZCLLiDY,Every Rose Has Its Thorn - Remastered 2003,spotify:artist:1fBCIkoPOPCDLUxGuWNvyo,Poison,spotify:album:2AMWVB3FWknjcMeb6hMZnd,Open Up And Say...Ahh! (20th Anniversary Edition),3/21/1988,https://i.scdn.co/image/ab67616d0000b273b4e4e7ee52c6fc8be77d8a33,1,8,260173,https://p.scdn.co/mp3-preview/1f072033712b02b22b31e6b2991c2d2da9c6a672?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,71,spotify:user:dgd13qott8zs5e2si4st3j7a9,2020-03-23T20:44:18Z
spotify:track:4T6HLdP6OcAtqC6tGnQelG,Everything,spotify:artist:1GxkXlMwML1oSg5eLPiAz3,Michael Bublé,spotify:album:3h4pyWRJIB9ZyRKXChbX22,Call Me Irresponsible,4/30/2007,https://i.scdn.co/image/ab67616d0000b2732ceedc8c879a1f6784fbeef5,1,9,212373,https://p.scdn.co/mp3-preview/cc3b7444ee1e70d073f762c60d211c313bdc9385?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,70,spotify:user:dgd13qott8zs5e2si4st3j7a9,2020-03-23T20:44:29Z
spotify:track:2KH16WveTQWT6KOG9Rg6e2,Eye of the Tiger,spotify:artist:26bcq2nyj5GB7uRr558iQg,Survivor,spotify:album:3t3BbpFJiGcXl4jI5CRLLA,Rocky IV,1985,https://i.scdn.co/image/ab67616d0000b273f4a2ccbe20d6d52f16816812,1,4,245640,https://p.scdn.co/mp3-preview/9e37f230afd37042e49f3d144c3b94e0b39ef8ba?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,75,spotify:user:dgd13qott8zs5e2si4st3j7a9,2020-03-23T20:44:35Z
spotify:track:4ycLiPVzE5KamivXrAzGFG,Fuck You,spotify:artist:5nLYd9ST4Cnwy6NHaCxbj8,CeeLo Green,spotify:album:3MXU6UoWrf4w4bOvjZTlvY,The Lady Killer,11/9/2010,https://i.scdn.co/image/ab67616d0000b2736f50b3400595b123a916e0dc,1,3,222933,https://p.scdn.co/mp3-preview/6216c11e7e4985b35e4187765225b0d873e94f72?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,66,spotify:user:dgd13qott8zs5e2si4st3j7a9,2020-03-23T20:44:42Z
spotify:track:4BVzMXl6fgEC82DpjTZD0T,Fuck Her Gently,spotify:artist:1XpDYCrUJnvCo9Ez6yeMWh,Tenacious D,spotify:album:7mv1ciCld5Bp1y6TDGtjQY,Tenacious D,9/25/2001,https://i.scdn.co/image/ab67616d0000b273869a8f064058a6e0ae44e089,1,6,123666,https://p.scdn.co/mp3-preview/cf21d7a955ca43e59de41006edf411810f5c6136?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,44,spotify:user:dgd13qott8zs5e2si4st3j7a9,2020-03-23T20:44:50Z
spotify:track:57ebBLITHpRgRKGrlbxMZS,Faithfully,spotify:artist:0rvjqX7ttXeg3mTy8Xscbt,Journey,spotify:album:2EFUNYmwxe0AOGxBORrfaw,Frontiers,2/1/1983,https://i.scdn.co/image/ab67616d0000b27338ac6dd1653bc2c69c9ed8dd,1,5,267080,https://p.scdn.co/mp3-preview/e32034615bca1b46c7a11c8653f9e3cba53c2a29?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,67,spotify:user:dgd13qott8zs5e2si4st3j7a9,2020-03-23T20:44:57Z
spotify:track:73ZTWCuwudUVvvWipRnQnQ,Family Tradition,spotify:artist:2dyeCWctcFRt3Pha76ONgb,"Hank Williams\, Jr.",spotify:album:3nJf4jGn7mru28s5ZUVIx4,Family Tradition,1979,https://i.scdn.co/image/ab67616d0000b2736f27df1fe7aa9ea757be6a1c,1,6,242960,https://p.scdn.co/mp3-preview/112fe491183f3edadb28f44be75faa9fdb26bb06?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,65,spotify:user:dgd13qott8zs5e2si4st3j7a9,2020-03-23T20:45:08Z
spotify:track:2t8bnZqxfcEybJ47qOPPTn,You Never Even Called Me By My Name,spotify:artist:6nwh8AhPpbwOUnHZJWrHT6,David Allan Coe,spotify:album:0gETy5dF8aflh0F52lXaWZ,For The Record- The First 10 Years,1974,https://i.scdn.co/image/ab67616d0000b27329346c13d6984429658efb0a,1,1,314066,,FALSE,52,spotify:user:dgd13qott8zs5e2si4st3j7a9,2020-03-23T20:45:11Z
spotify:track:1FTlLpP6V05yJWmcIg0rlK,Mama Tried - Remastered 2001,spotify:artist:3mSAqBoXQgdlpwzWsIgBzL,Merle Haggard & The Strangers,spotify:album:0f6Gx3lFLqdcY8XSXMKgCm,Mama Tried,1/1/2001,https://i.scdn.co/image/ab67616d0000b273915793347f4c2890b967552c,1,1,132626,https://p.scdn.co/mp3-preview/3f0465cc97b2a8ad2aa648a0714793c1f4e94ed6?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,56,spotify:user:dgd13qott8zs5e2si4st3j7a9,2020-03-23T20:45:14Z
